Sl.no,School Code,School Name
390,11020602203,BRIGHT CAREER ACHADEMY
391,11020602202,MARIGOLD ACADAMY POKHARI DARA
392,11020601402,MOUNT SIMVO BOARDING SCHOOL
393,11020600202,MT. PENDAM ACADEMY
394,11020603903,ANTASHKARAN CHILD ACHADAMY
395,11020603902,GREEN LIGHT ACHADEMY
396,11020600803,LABDANG ENGLISH SCHOOL
397,11020603703,GOOD SHEPHERD ENGLISH SCHOOL
398,11020603702,GOOD WILL ACADEMY THINGLING
399,11020602302,I E C MISSION PRIMARY SCHOOL RIMBI
400,11020602602,VIDHYA SAGAR GAYNPEATH TATHANG
401,11020602902,HIMALAYAN RADIANT ACADEMY
402,11020600502,MARIGOLD NURSERY SCHOOL
403,11020600105,NEW HORIZON ACADEMCY TASHIDING
404,11020600106,TASHIDING ENGLISH SCHOOL
405,11020600403,GOOD SHEPHERD SCHOOL
406,11020600404,LIFE VISION ACADEMY
